Serviço Iniciado - 2022-08-04 17:23:43,747 - INFO 
I1 - 2022-08-04 17:24:07,983 - INFO 
O0 - 2022-08-04 17:24:07,983 - INFO 
O1 - 2022-08-04 17:24:07,983 - INFO 
Status - 2022-08-04 17:24:08,997 - INFO 
I0 - 2022-08-04 17:24:08,997 - INFO 
I1 - 2022-08-04 17:24:08,997 - INFO 
O0 - 2022-08-04 17:24:08,997 - INFO 
O1 - 2022-08-04 17:24:08,997 - INFO 
Status - 2022-08-04 17:24:10,006 - INFO 
I0 - 2022-08-04 17:24:10,006 - INFO 
I1 - 2022-08-04 17:24:10,007 - INFO 
O0 - 2022-08-04 17:24:10,007 - INFO 
O1 - 2022-08-04 17:24:10,007 - INFO 
Status - 2022-08-04 17:24:11,021 - INFO 
I0 - 2022-08-04 17:24:11,021 - INFO 
I1 - 2022-08-04 17:24:11,021 - INFO 
O0 - 2022-08-04 17:24:11,021 - INFO 
O1 - 2022-08-04 17:24:11,022 - INFO 
Status - 2022-08-04 17:24:12,035 - INFO 
I0 - 2022-08-04 17:24:12,035 - INFO 
I1 - 2022-08-04 17:24:12,035 - INFO 
O0 - 2022-08-04 17:24:12,035 - INFO 
O1 - 2022-08-04 17:24:12,035 - INFO 
Status - 2022-08-04 17:24:13,037 - INFO 
I0 - 2022-08-04 17:24:13,037 - INFO 
I1 - 2022-08-04 17:24:13,037 - INFO 
O0 - 2022-08-04 17:24:13,037 - INFO 
O1 - 2022-08-04 17:24:13,037 - INFO 
Status - 2022-08-04 17:24:14,048 - INFO 
I0 - 2022-08-04 17:24:14,049 - INFO 
I1 - 2022-08-04 17:24:14,049 - INFO 
O0 - 2022-08-04 17:24:14,049 - INFO 
O1 - 2022-08-04 17:24:14,049 - INFO 
Status - 2022-08-04 17:24:15,057 - INFO 
I0 - 2022-08-04 17:24:15,057 - INFO 
I1 - 2022-08-04 17:24:15,058 - INFO 
O0 - 2022-08-04 17:24:15,058 - INFO 
O1 - 2022-08-04 17:24:15,058 - INFO 
Status - 2022-08-04 17:24:16,072 - INFO 
I0 - 2022-08-04 17:24:16,072 - INFO 
I1 - 2022-08-04 17:24:16,072 - INFO 
O0 - 2022-08-04 17:24:16,072 - INFO 
O1 - 2022-08-04 17:24:16,072 - INFO 
Status - 2022-08-04 17:24:17,082 - INFO 
I0 - 2022-08-04 17:24:17,082 - INFO 
I1 - 2022-08-04 17:24:17,082 - INFO 
O0 - 2022-08-04 17:24:17,082 - INFO 
O1 - 2022-08-04 17:24:17,083 - INFO 
Status - 2022-08-04 17:24:18,091 - INFO 
I0 - 2022-08-04 17:24:18,091 - INFO 
I1 - 2022-08-04 17:24:18,091 - INFO 
O0 - 2022-08-04 17:24:18,091 - INFO 
O1 - 2022-08-04 17:24:18,092 - INFO 
Status - 2022-08-04 17:24:19,104 - INFO 
I0 - 2022-08-04 17:24:19,104 - INFO 
I1 - 2022-08-04 17:24:19,104 - INFO 
O0 - 2022-08-04 17:24:19,104 - INFO 
O1 - 2022-08-04 17:24:19,104 - INFO 
Status - 2022-08-04 17:24:20,114 - INFO 
I0 - 2022-08-04 17:24:20,114 - INFO 
I1 - 2022-08-04 17:24:20,114 - INFO 
O0 - 2022-08-04 17:24:20,114 - INFO 
O1 - 2022-08-04 17:24:20,114 - INFO 
Status - 2022-08-04 17:24:21,124 - INFO 
I0 - 2022-08-04 17:24:21,125 - INFO 
I1 - 2022-08-04 17:24:21,125 - INFO 
O0 - 2022-08-04 17:24:21,125 - INFO 
O1 - 2022-08-04 17:24:21,125 - INFO 
Status - 2022-08-04 17:24:22,132 - INFO 
I0 - 2022-08-04 17:24:22,132 - INFO 
I1 - 2022-08-04 17:24:22,132 - INFO 
O0 - 2022-08-04 17:24:22,132 - INFO 
O1 - 2022-08-04 17:24:22,132 - INFO 
Status - 2022-08-04 17:24:23,144 - INFO 
I0 - 2022-08-04 17:24:23,144 - INFO 
I1 - 2022-08-04 17:24:23,144 - INFO 
O0 - 2022-08-04 17:24:23,144 - INFO 
O1 - 2022-08-04 17:24:23,145 - INFO 
Status - 2022-08-04 17:24:24,148 - INFO 
I0 - 2022-08-04 17:24:24,148 - INFO 
I1 - 2022-08-04 17:24:24,148 - INFO 
O0 - 2022-08-04 17:24:24,149 - INFO 
O1 - 2022-08-04 17:24:24,149 - INFO 
Status - 2022-08-04 17:24:25,163 - INFO 
I0 - 2022-08-04 17:24:25,163 - INFO 
I1 - 2022-08-04 17:24:25,163 - INFO 
O0 - 2022-08-04 17:24:25,164 - INFO 
O1 - 2022-08-04 17:24:25,164 - INFO 
Status - 2022-08-04 17:24:26,173 - INFO 
I0 - 2022-08-04 17:24:26,173 - INFO 
I1 - 2022-08-04 17:24:26,174 - INFO 
O0 - 2022-08-04 17:24:26,174 - INFO 
O1 - 2022-08-04 17:24:26,174 - INFO 
Status - 2022-08-04 17:24:27,189 - INFO 
I0 - 2022-08-04 17:24:27,190 - INFO 
I1 - 2022-08-04 17:24:27,190 - INFO 
